"","NRO","SEXO","EDAD","P1A","P1B","P1C","P1D","P2_1","P2_2","P3A","P3B","P3C","P3D","P4A","P4B","P4C","P4D","P4E","P4F","P4G","P4H","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22.1","P22.2","P23","P24","P25A","P25B","P26","P27","P28A","P28B","P28C","P28D","P28E","P29","P30","P31.1","P31.2","P32","P33.1","P33.2","P34","P35","P36","P37A","P37B","P37C","P37D","P37E","P37F","P38","P39","P40","P41","P42","P43A","P43B","P43C","P44","P45","P46","P47","P48A","P48B","P48C","P48D","P49.1","P49.2","P49.3","P50","P51A","P51B","P51C","P51D","P51E","P51F","P51G","P51H","P51I","P51J","P52A","P52B","P52C","P52D","P53.01","P53.02","P53.03","P53.04","P53.05","P53.06","P53.07","P53.08","P53.09","P53.10","P54.1","P54.2","P54.3","P55","P56","P57","P58","P59A","P59B","P59C","P59D","P59E","P59F","P59G","P60","P61A","P61B","P61C","P61D","P61E","P61F","P61G","P62A","P62B","P62C","P62D","P62E","P63","P64","P65","P66","P67","P68","TFAM","NIVEDU","OCUPA","TRAB","JEFE","JNIVEDU","JOCUPA","JTRAB","SERVHI","BANOS","DOMES","CGAS","REFRI","LAVA","COMPRAS","INGRESO","IDENETNICA","GEDAD","TIPOVIVI","AVIVI","PISTAS","NIVEL","UBIGEO10","estrato","nse1","nsegrup","ESTRATOS","PESO","inseguridad08","inseguridad08100","rank_inseguridad08100","adaptk8.cluster"
"515",620,"Femenino",52,"Desaprueba","Desaprueba","Aprueba","Desaprueba","Por el desempleo y las malas condiciones laborales",NA,"Desaprueba","Aprueba","Aprueba","Aprueba","Poca","Poca","Mucha","Ninguna","Mucha","Ninguna","Poca","Alguna","Regular","Peor","Medianamente informado","La gente que vive en Lima","Ambos por igual","La gente de clase alta, los ricos","Los empresarios extranjeros","Insatisfecho","A veces un gobierno autoritario o una dictadura puede ser pr","Promover la economía privada de mercado es la única forma en","5","4","Algo peor","Mejorará algo","Permanece igual","Mejorará algo","Nada justificable","La falta de empleo","Los bajos salarios / sueldos","Estoy algo en desacuerdo con ellas","El gobierno","Poco impacto","Algún impacto","Intolerante","Poca influencia","Sí","Sí","Sí","Sí","Sí","Ninguno/Nadie","Los sindicatos (la GCTP)","Son trabajadores","Son creativos","Falta de oportunidades de trabajo","Programa de empleo juvenil","Programa de prevención del pandillaje y la violencia juvenil","Buscar trabajo","Regular","Regular","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán iguales que los adultos de hoy","Poco","Sí","Sí","En desacuerdo","En desacuerdo","De acuerdo","Es muy difícil confiar en los demás","","Ser famoso / tener prestigio","El SIDA","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Asaltos con armas","Terrorismo","Atraco (con violencia o amenaza)","Mucha frecuencia","Regular frecuencia","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Regular frecuencia","Mucha frecuencia","Poca frecuencia","Regular frecuencia","Mucha frecuencia","Sí","Sí","No","No","No llevar mucho dinero consigo","No llevar joyas u objetos valiosos a la vista","Instalar una alarma en su domicilio",NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","La escasez de medios de la Policía","La lejanía de las comisarías","Sí","Robo en vivienda o local","Mucho","Ha aumentado mucho","Muy eficaz","Bastante eficaz","Muy eficaz","Muy eficaz","Nada eficaz","Muy eficaz","Muy eficaz","Las autoridades del Estado","Malo","Malo","Bueno","Bueno","Malo","Bueno","Muy bueno","Bueno","No precisa","No precisa","No precisa","No precisa","En la lucha contra la delincuencia callejera","No",NA,"No",NA,NA,8,"Secundaria incompleta","Independiente / cuenta propia","Pescador / artesano","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",3,"No","Sí","Sí","No","Iguales","Entre 300 y 600","Quechua","45 a más","Casa independiente","Medio","Asfaltado en regular o mal estado","Inclinado","150142            ","Lima Sur","D","D/E","Lima Sur - Mujeres",1.0127382190333,-1.85321528831143,16.2201681701547,24,2
"516",621,"Masculino",45,"Desaprueba","Desaprueba","Desaprueba","Aprueba","Por el alza de precios/inflación",NA,"Aprueba","Aprueba","Aprueba","Desaprueba","Poca","Poca","Alguna","Ninguna","Alguna","Alguna","Poca","Alguna","Regular","Peor","Poco informado","La gente que vive en Lima","Los dueños de las grandes empresas","La gente de clase alta, los ricos","Los empresarios extranjeros","Insatisfecho","Me da lo mismo un tipo de gobierno u otro","Promover una mayor participación del Estado en la economía e","8","5","Algo peor","Permanecerá igual","Algo peor","Empeorará algo","Algo justificable","La falta de empleo","Los bajos salarios / sueldos","Estoy totalmente en desacuerdo con ellas","Los organizadores del paro","Poco impacto","Ningún impacto","Intolerante","Poca influencia","Sí","Sí","Sí","Sí","Sí","Los sindicatos (la GCTP)","El gobierno","Son rebeldes","No tienen interés en cambiar su realidad","Bajo nivel educativo","Programa de empleo juvenil","Programa para incentivar las cualidades artísticas y deporti","Buscar trabajo","Regular","Regular","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Sí","Serán peores que los adultos de hoy","Poco","Sí","Sí","De acuerdo","De acuerdo","De acuerdo","Es muy difícil confiar en los demás","","Ganar mucho dinero","Los embarazos no deseados","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Asaltos con armas","Venta de drogas","Robo en vivienda o local","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Poca frecuencia","Regular frecuencia","Mucha frecuencia","Regular frecuencia","Regular frecuencia","Regular frecuencia","Sí","Sí","No","Sí","Instalar una alarma en su domicilio","Evitar los estacionamientos oscuros y mal vigilados",NA,NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","El desempleo","La falta de colaboración ciudadana","Sí","Robo al paso (de bolso, cartera, celular)","Nada","Se mantiene igual","Nada eficaz","Bastante eficaz","Muy eficaz","Muy eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","Las autoridades del Estado","Malo","Malo","Malo","Malo","Malo","Muy malo","Malo","Malo","Malo","Malo","Malo","Malo","En la desactivación de explosivos","No",NA,"No",NA,NA,5,"Superior técnica completa","Independiente / cuenta propia","Obrero especializado, mecánico, electricista","El propio entrevistado",NA,NA,NA,"Water / inodoro",3,"Sí","Sí","Sí","Sí","Peores","Entre 1501 y 2000","Mestizo","45 a más","Casa independiente","Medio","Asfaltado en regular o mal estado","Plano","150142            ","Lima Sur","B","A/B","Lima Sur - Hombres",1.30914940509183,-1.69721164352862,19.6463721034525,29,2
"517",622,"Masculino",37,"Aprueba","Aprueba","Aprueba","Desaprueba","Porque mantiene la economía estable",NA,"Aprueba","Desaprueba","Desaprueba","Desaprueba","Poca","Ninguna","Alguna","Poca","Poca","Ninguna","Poca","Ninguna","Regular","Igual","Bien Infromado","Ambos por igual","Los dueños de las grandes empresas","La gente de clase alta, los ricos","Los empresarios extranjeros","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","7","5","Permanece igual","Permanecerá igual","Algo mejor","Mejorará algo","Poco justificable","El alza o la subida de precios de algunos productos de la ca",NA,"Estoy algo en desacuerdo con ellas","Ninguno de los dos","Poco impacto","Poco impacto","Tolerante","Poca influencia","No","No","Sí","No","Sí","El gobierno","Los sindicatos (la GCTP)","No tienen interés en cambiar su realidad","Son pesimistas con su futuro","Bajo nivel educativo","Programa de empleo juvenil","Programa para incentivar la participación política de los jó","Iniciar un negocio","Mal","Mal","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","No","Serán iguales que los adultos de hoy","Poco","No","Sí","De acuerdo","De acuerdo","De acuerdo","Es muy difícil confiar en los demás","","Ser de utilidad a la sociedad","La violencia (inseguridad ciudadana, pandillaje, terrorismo)","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","Agresiones físicas","Asaltos con armas","Violencia callejera","Robo en vivienda o local","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Poca frecuencia","Regular frecuencia","Regular frecuencia","Poca frecuencia","Regular frecuencia","Poca frecuencia","Regular frecuencia","Sí","Sí","No","No","No llevar mucho dinero consigo","Evitar caminar por zonas apartadas o por lugares que conside","Instalar rejas en su domicilio",NA,NA,NA,NA,NA,NA,NA,"Las carencias afectivas en el hogar","La poca dureza de las penas",NA,"No",NA,NA,"Se mantiene igual","Bastante eficaz","Poco eficaz","Bastante eficaz","Bastante eficaz","Poco eficaz","Bastante eficaz","Poco eficaz","El propio consumidor","Bueno","Malo","Malo","Malo","Malo","Bueno","Bueno","Malo","Malo","Malo","Malo","Malo","En las operaciones especiales","No",NA,"No",NA,NA,2,"Superior universitaria completa","Asalariado sector público","Profesor escolar, profesor no universitario (de academia o i","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",1,"No","Sí","No","No","Iguales","Entre 1501 y 2000","Mestizo","30 a 44","Casa independiente","Popular","Asfaltado en regular o mal estado","Plano","150142            ","Lima Sur","C","C","Lima Sur - Hombres",1.30914940509183,-1.0637826283268,33.5579508128532,100,3
"518",625,"Femenino",18,"Aprueba","Aprueba","Aprueba","Aprueba","Porque hace buenas obras",NA,"Desaprueba","Aprueba","Aprueba","Desaprueba","Ninguna","Ninguna","Ninguna","Poca","Poca","Ninguna","Ninguna","Ninguna","Regular","Mejor","Medianamente informado","La gente que vive en Lima","Los dueños de las grandes empresas","La gente de clase alta, los ricos","Los empresarios extranjeros","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","7","8","Algo mejor","Permanecerá igual","Algo peor","Empeorará algo","Poco justificable","El alza o la subida de precios de algunos productos de la ca","La falta de atención del gobierno a las demandas de las regi","Me solidarizo con ellas","El gobierno","Poco impacto","Algún impacto","Tolerante","Alguna influencia","Sí","Sí","Sí","Sí","Sí","El gobierno","Los sindicatos (la GCTP)","Son individualistas","No tienen interés en cambiar su realidad","Falta de oportunidades de trabajo","Programa de empleo juvenil","Programa para incentivar la participación política de los jó","Estudiar una carrera universitaria","Regular","Regular","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán iguales que los adultos de hoy","Algo","Sí","No","De acuerdo","En desacuerdo","En desacuerdo","Es muy difícil confiar en los demás","","Ser autosuficiente, no depender de nadie","Los embarazos no deseados","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Violencia callejera","Venta de drogas","Agresión sexual","Ninguna frecuencia","Mucha frecuencia","Mucha frecuencia","Ninguna frecuencia","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Ninguna frecuencia","Poca frecuencia","Mucha frecuencia","No","No","No","No","No llevar mucho dinero consigo","Evitar caminar por zonas apartadas o por lugares que conside","Evitar los estacionamientos oscuros y mal vigilados",NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","La pobreza y las desigualdades sociales","El bajo nivel educativo","Sí","Robo al paso (de bolso, cartera, celular)","Poco","Ha disminuido algo","Bastante eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Poco eficaz","Bastante eficaz","Las autoridades del Estado","Bueno","Malo","Bueno","Malo","Malo","Bueno","Malo","Bueno","Bueno","Malo","Bueno","Malo","En la lucha contra la delincuencia callejera","No",NA,"No",NA,NA,8,"Superior universitaria incompleta","Estudiante",NA,"Otra persona","Secundaria completa","Independiente / cuenta propia","Agricultor mediano (hasta 5 trabajadores)","Letrina / silo",0,"No","Sí","Sí","No","Mejores","Entre 601 y 1000","Mestizo","18 a 29","Casa independiente","Popular","Tierra sin afirmar","Inclinado","150142            ","Lima Sur","D","D/E","Lima Sur - Mujeres",1.0127382190333,-1.01107220291495,34.7155947071567,105.5,3
"519",626,"Masculino",28,"Desaprueba","Aprueba","Desaprueba","Desaprueba","Por la inestabilidad política/Huelgas y paros",NA,"Desaprueba","Desaprueba","Desaprueba","Desaprueba","Poca","Poca","Ninguna","Poca","Ninguna","Poca","Ninguna","Alguna","Regular","Mejor","Medianamente informado","Ambos por igual","Ambos por igual","La gente de clase alta, los ricos","Ambos por igual","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","7","5","Mucho mejor","Mejorará algo","Permanece igual","Mejorará algo","Poco justificable","El alza o la subida de precios de algunos productos de la ca","Los bajos salarios / sueldos","Estoy algo en desacuerdo con ellas","El gobierno","Poco impacto","Mucho impacto","Muy tolerante","Poca influencia","Sí","Sí","Sí","Sí","Sí","El gobierno","Los sindicatos (la GCTP)","Son individualistas","No tienen interés en cambiar su realidad","Falta de oportunidades de trabajo","Programa de educación en salud sexual y reproductiva","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera técnica","Mal","Mal","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","No","Serán mejores que los adultos de hoy","Poco","Sí","No","En desacuerdo","En desacuerdo","En desacuerdo","Es muy difícil confiar en los demás","","Formar una familia estable","Los embarazos no deseados","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Agresiones físicas","Violencia callejera","Actos de vandalismo","Poca frecuencia","Regular frecuencia","Regular frecuencia","Ninguna frecuencia","Regular frecuencia","Regular frecuencia","Poca frecuencia","Ninguna frecuencia","Poca frecuencia","Poca frecuencia","No","No","No","No","No llevar mucho dinero consigo","No salir de noche sin compañía","No llevar joyas u objetos valiosos a la vista","Tener un arma en casa",NA,NA,NA,NA,NA,NA,"El consumo de drogas","La pobreza y las desigualdades sociales","La poca eficacia de la Policía","No",NA,NA,"Ha aumentado mucho","Muy eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Muy eficaz","Muy eficaz","La familia","Bueno","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","En la protección de funcionarios","No",NA,"No",NA,NA,9,"Superior técnica completa","Independiente / cuenta propia","Obrero especializado, mecánico, electricista","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",2,"No","Sí","Sí","No","Mejores","Entre 1001 y 1500","Quechua","18 a 29","Casa independiente","Medio","Tierra sin afirmar","Inclinado","150142            ","Lima Sur","C","C","Lima Sur - Hombres",1.30914940509183,0.107798752074763,59.2886107554386,281,1
"520",627,"Masculino",40,"Desaprueba","Desaprueba","Desaprueba","Desaprueba","Por el alza de precios/inflación","Porque no cumple sus promesas/Ha vuelto a engañar al pueblo/","Aprueba","Desaprueba","Desaprueba","Aprueba","Ninguna","Ninguna","Alguna","Ninguna","Ninguna","Ninguna","Alguna","Poca","Mala","Peor","Nada informado","La gente que vive en provincias","Los dueños de las grandes empresas","La gente de clase alta, los ricos","Los empresarios extranjeros","Muy insatisfecho","A veces un gobierno autoritario o una dictadura puede ser pr","Promover una mayor participación del Estado en la economía e","5","5","Mucho peor","Empeorará algo","Mucho peor","Empeorará algo","Poco justificable","El alza o la subida de precios de algunos productos de la ca","La falta de empleo","Simpatizo con ellas","Los organizadores del paro","Poco impacto","Mucho impacto","Intolerante","Ninguna influencia","Sí","Sí","No","Sí","Sí","Los sindicatos (la GCTP)","El gobierno","Son individualistas","Son rebeldes","Inestabilidad laboral","Programa de empleo juvenil","Programa de prevención del pandillaje y la violencia juvenil","Viajar al extranjero","Mal","Mal","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Sí","Serán peores que los adultos de hoy","Nada","Sí","No","De acuerdo","En desacuerdo","En desacuerdo","Es muy difícil confiar en los demás","Muy insatisfecho","Ser exitoso en mi trabajo","La falta de trabajo","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","Terrorismo","Secuestro","Venta de drogas","Atraco (con violencia o amenaza)","Regular frecuencia","Poca frecuencia","Mucha frecuencia","Regular frecuencia","Ninguna frecuencia","Regular frecuencia","Mucha frecuencia","Ninguna frecuencia","Regular frecuencia","Ninguna frecuencia","No","No","No","No","No llevar mucho dinero consigo","Evitar caminar por zonas apartadas o por lugares que conside","Llevar algún arma u objeto defensivo","Evitar los estacionamientos oscuros y mal vigilados","No dejar objetos a la vista en el auto","Tener un arma en casa",NA,NA,NA,NA,"El consumo de drogas","La pobreza y las desigualdades sociales","El desempleo","Sí","Robo en vivienda o local","Nada","Ha aumentado mucho","Poco eficaz","Muy eficaz","Nada eficaz","Nada eficaz","Muy eficaz","Muy eficaz","Nada eficaz","Las autoridades del Estado","Malo","Muy malo","Muy malo","Muy malo","Muy malo","Muy malo","Muy malo","Malo","Malo","Malo","Malo","Malo","En la desactivación de explosivos","No",NA,"Sí","Faltas de tránsito","Se resolvió de manera alternativa, como coimas, etc.",3,"Secundaria completa","Independiente / cuenta propia","Chofer, transportista o taxista sin carro propio","El propio entrevistado",NA,NA,NA,"Water / inodoro",1,"No","Sí","Sí","No","Iguales","Entre 300 y 600","Quechua","30 a 44","Casa independiente","Popular","Tierra sin afirmar","Inclinado","150142            ","Lima Sur","D","D/E","Lima Sur - Hombres",1.30914940509183,-0.347244128418168,49.2948076674747,193,3
"521",628,"Masculino",37,"Aprueba","Aprueba","Desaprueba","Aprueba","Porque ha reducido la pobreza",NA,"Desaprueba","Desaprueba","Desaprueba","Aprueba","Poca","Ninguna","Poca","Ninguna","Poca","Poca","Ninguna","Mucha","Regular","Igual","Medianamente informado","La gente que vive en Lima","Los dueños de las grandes empresas","La gente de clase alta, los ricos","Los empresarios extranjeros","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","10","8","Algo mejor","Permanecerá igual","Algo mejor","Permanecerá igual","Nada justificable","El alza o la subida de precios de algunos productos de la ca","Los bajos salarios / sueldos","Me solidarizo con ellas","El gobierno","Ningún impacto","Mucho impacto","Intolerante","Poca influencia","No","Sí","Sí","Sí","Sí","El gobierno","Los sindicatos (la GCTP)","Son emprendedores","Son creativos","Calificación técnica insuficiente","Programa de educación en salud sexual y reproductiva","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera técnica","Mal","Mal","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán mejores que los adultos de hoy","Algo","Sí","No","De acuerdo","De acuerdo","De acuerdo","Es muy difícil confiar en los demás","","Ser autosuficiente, no depender de nadie","El SIDA","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Amenazas e intimidaciones","Asaltos con armas","Atraco (con violencia o amenaza)","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Poca frecuencia","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","No","No","No","No","No llevar mucho dinero consigo","Llevar algún arma u objeto defensivo",NA,NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","El desempleo","El bajo nivel educativo","Sí","Robo al paso (de bolso, cartera, celular)","Nada","Ha aumentado algo","Muy eficaz","Muy eficaz","Muy eficaz","Bastante eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","La familia","Malo","Malo","Malo","Bueno","Malo","Malo","Malo","Malo","Malo","Malo","Bueno","Malo","En la protección de funcionarios","No",NA,"Sí","Fui abordado sin justificación","Se resolvió de manera alternativa, como coimas, etc.",4,"Secundaria completa","Asalariado sector privado","Obrero especializado, mecánico, electricista","El propio entrevistado",NA,NA,NA,"Water / inodoro",1,"No","Sí","No","No","Mejores","Entre 1001 y 1500","Mestizo","30 a 44","Casa independiente","Popular","Tierra sin afirmar","Inclinado","150142            ","Lima Sur","D","D/E","Lima Sur - Hombres",1.30914940509183,-2.25838288568698,7.32174263845894,9,2
"522",629,"Femenino",35,"Desaprueba","Desaprueba","Desaprueba","Aprueba","Porque no cumple sus promesas/Ha vuelto a engañar al pueblo/",NA,"Desaprueba","Desaprueba","Aprueba","Desaprueba","Ninguna","Ninguna","Mucha","Ninguna","Poca","Ninguna","Ninguna","Ninguna","Mala","Peor","Poco informado","La gente que vive en provincias","Ambos por igual","Ambos por igual","Ambos por igual","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","5","5","Permanece igual","Mejorará algo","Algo peor","Empeorará algo","Algo justificable","La falta de empleo","Los bajos salarios / sueldos","Me solidarizo con ellas","Los organizadores del paro","Poco impacto","Mucho impacto","Muy tolerante","Poca influencia","Sí","Sí","Sí","Sí","Sí","Los sindicatos (la GCTP)","El gobierno","Son emprendedores","Son trabajadores","Falta de oportunidades de trabajo","Programa de educación en salud sexual y reproductiva","Programa de prevención del pandillaje y la violencia juvenil","Buscar trabajo","Regular","Regular","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán peores que los adultos de hoy","Nada","Sí","No","En desacuerdo","En desacuerdo","En desacuerdo","Es muy difícil confiar en los demás","","Ser de utilidad a la sociedad","El SIDA","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Agresiones físicas","Corrupción","Robo al paso (de bolso, cartera, celular)","Poca frecuencia","Mucha frecuencia","Mucha frecuencia","Ninguna frecuencia","Poca frecuencia","Mucha frecuencia","Mucha frecuencia","Ninguna frecuencia","Poca frecuencia","Regular frecuencia","Sí","No","No","No","No llevar mucho dinero consigo","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside","No llevar joyas u objetos valiosos a la vista","Instalar rejas en su domicilio",NA,NA,NA,NA,NA,"La pobreza y las desigualdades sociales","El desempleo","El bajo nivel educativo","Sí","Robo al paso (de bolso, cartera, celular)","Mucho","Ha aumentado mucho","Muy eficaz","Muy eficaz","Muy eficaz","Bastante eficaz","Nada eficaz","Bastante eficaz","Poco eficaz","La familia","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","En la lucha contra la delincuencia callejera","No",NA,"No",NA,NA,4,"Secundaria completa","Independiente / cuenta propia","Vendedor ambulante","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Letrina / silo",0,"No","Sí","Sí","Sí","Mejores","Entre 300 y 600","Blanco","30 a 44","Casa independiente","Popular","Tierra sin afirmar","Inclinado","150142            ","Lima Sur","D","D/E","Lima Sur - Mujeres",1.0127382190333,-0.690793513629932,41.7496618054448,140,3
"523",630,"Femenino",23,"Desaprueba","Desaprueba","Desaprueba","Aprueba","Porque no cumple sus promesas/Ha vuelto a engañar al pueblo/",NA,"Aprueba","Desaprueba","Desaprueba","Desaprueba","Ninguna","Ninguna","Alguna","Mucha","Mucha","Poca","Poca","Poca","Mala","Peor","Informado","La gente que vive en Lima","Los dueños de las grandes empresas","Ambos por igual","Ambos por igual","Insatisfecho","Me da lo mismo un tipo de gobierno u otro","Promover la economía privada de mercado es la única forma en","1","5","Algo peor","Mejorará algo","Algo peor","Mejorará algo","Algo justificable","El alza o la subida de precios de algunos productos de la ca","La falta de atención del gobierno a las demandas de las regi","Simpatizo con ellas","Los organizadores del paro","Poco impacto","Mucho impacto","Intolerante","Poca influencia","No","Sí","No","Sí","Sí","El gobierno","Los sindicatos (la GCTP)","Son emprendedores","Son creativos","Falta de oportunidades de trabajo","Programa de empleo juvenil","Programa para incentivar las cualidades artísticas y deporti","Estudiar una carrera universitaria","Regular","Regular","De acuerdo","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Sí","Serán peores que los adultos de hoy","Nada","Sí","No","De acuerdo","De acuerdo","En desacuerdo","Es muy difícil confiar en los demás","Muy satisfecho","Ser autosuficiente, no depender de nadie","La falta de trabajo","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Agresiones físicas","Violencia callejera","Agresión sexual","Ninguna frecuencia","Mucha frecuencia","Mucha frecuencia","Ninguna frecuencia","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Ninguna frecuencia","Poca frecuencia","Mucha frecuencia","Sí","No","No","No","No llevar mucho dinero consigo","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside","Evitar los estacionamientos oscuros y mal vigilados",NA,NA,NA,NA,NA,NA,"El consumo de drogas","La pobreza y las desigualdades sociales","El desempleo","Sí","Robo al paso (de bolso, cartera, celular)","Mucho","Ha aumentado mucho","Muy eficaz","Muy eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Poco eficaz","Poco eficaz","La familia","Bueno","Malo","Muy malo","Malo","Malo","Muy malo","Muy malo","Bueno","Bueno","Malo","Malo","Malo","En la lucha contra las drogas","No",NA,"No",NA,NA,8,"Superior técnica incompleta","Independiente / cuenta propia","Servicio doméstico","El entrevistado y otra persona en partes iguales",NA,NA,NA,"No tiene SSHH",0,"No","Sí","No","No","Peores","Entre 300 y 600","Mestizo","18 a 29","Casa independiente","Popular","Tierra sin afirmar","Inclinado","150142            ","Lima Sur","E","D/E","Lima Sur - Mujeres",1.0127382190333,-1.01107220291495,34.7155947071567,105.5,3
"524",631,"Femenino",85,"Desaprueba","Desaprueba","Desaprueba","Aprueba","Por el alza de precios/inflación",NA,"Desaprueba","Desaprueba","Desaprueba","Desaprueba","Ninguna","Ninguna","Mucha","Ninguna","Mucha","Ninguna","Ninguna","Ninguna","Mala","Peor","Poco informado","La gente que vive en provincias","Los dueños de las grandes empresas","La gente de clase alta, los ricos","Los empresarios extranjeros","Insatisfecho","Me da lo mismo un tipo de gobierno u otro","Promover una mayor participación del Estado en la economía e","2","8","Algo peor","Empeorará algo","Algo peor","Empeorará algo","Algo justificable","El alza o la subida de precios de algunos productos de la ca","La falta de empleo","Me solidarizo con ellas","El gobierno","Ningún impacto","Mucho impacto","Muy intolerante","Ninguna influencia","Sí","Sí","Sí","Sí","Sí","Los sindicatos (la GCTP)","El gobierno","Son rebeldes","Son creativos","Falta de oportunidades de trabajo","Programa de empleo juvenil","Programa para incentivar la participación política de los jó","Estudiar una carrera universitaria","Mal","Regular","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán peores que los adultos de hoy","Nada","Sí","No","De acuerdo","En desacuerdo","De acuerdo","Se puede confiar en la mayoría de la gente","","Formar una familia estable","Los embarazos no deseados","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Hurto sin violencia","Venta de drogas","Robo al paso (de bolso, cartera, celular)","Ninguna frecuencia","Mucha frecuencia","Mucha frecuencia","Ninguna frecuencia","Poca frecuencia","Mucha frecuencia","Mucha frecuencia","Ninguna frecuencia","Ninguna frecuencia","Poca frecuencia","No","No","No","No","No llevar mucho dinero consigo","No llevar joyas u objetos valiosos a la vista","Instalar rejas en su domicilio",NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","La pobreza y las desigualdades sociales","El desempleo","No",NA,NA,"Ha aumentado mucho","Muy eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Nada eficaz","Nada eficaz","El propio consumidor","Bueno","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Bueno","Bueno","Malo","En la lucha contra la delincuencia callejera","No",NA,"No",NA,NA,5,"Ninguno","Actualmente no trabaja",NA,"Otra persona","Primaria completa","Independiente / cuenta propia","Pequeño comerciante con puesto / Microempresario (menos de 5","Letrina / silo",0,"No","Sí","Sí","No","Iguales","Menos de 300","Quechua","45 a más","Casa independiente","Popular","Tierra sin afirmar","Inclinado","150142            ","Lima Sur","D","D/E","Lima Sur - Mujeres",1.0127382190333,-0.256375942412065,51.2904849911629,214,3
