"","NRO","SEXO","EDAD","P1A","P1B","P1C","P1D","P2A","P2B","P2C","P2D","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16.1","P16.2","P16.3","P16.4","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","P31","P32A","P32B","P32C","P32D","P32E","P32F","P32G","P32H","P32I","P32J","P33A","P33B","P33C","P34A","P34B","P35","P36","P37","P38","P39","P40","P41A","P41B","P41C","P41D","P41E","P42A","P42B","P42C","P42D","P42E","P42F","P42G","P42H","P43A","P43B","P43C","P43D","P43E","P44A","P44B","P44C","P44D","P44E","P44F","P44G","P45.1","P45.2","P45.3","P46_1","P46_2","P47.1","P47.2","P47.3","P48","P49","P50","P51.01","P51.02","P51.03","P51.04","P51.05","P51.06","P51.07","P51.08","P51.09","P51.10","P51.11","P51.12","P52","P53A","P53B","P53C","P53D","P53E","P53F","P53G","P54","P55A","P55B","P55C","P55D","P55E","P55F","P55G","P56A","P56B","P56C","P56D","P56E","P57","P58","P59","P60","P61","P62","TFAM","NIVEDU","OCUPA","TRAB","JEFE","JNIVEDU","JOCUPA","JTRAB","SERVHI","BANOS","DOMES","CGAS","REFRI","LAVA","COMPRAS","INGRESO","IDENETNICA","GEDAD","TIPOVIVI","AVIVI","PISTAS","NIVEL","UBIGEO09","estrato","nse1","nsegrup","PESO","UBIGEO09","inseguridad09","inseguridad09100","rank_inseguridad09100","adaptk.cluster"
"371",323,"Masculino",39,"Aprueba","Aprueba","Desaprueba","Aprueba","Desaprueba","Aprueba","Desaprueba","Desaprueba","Buena","Mejor","Medianamente informado","Algo interesado","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Promover la economía privada de mercado es la única forma en","No",NA,NA,"Luis Castañeda","Ollanta Humala",NA,NA,NA,"Luis Castañeda","Otros","No precisa","Jorge Del Castillo","Permanece igual","Mejorará algo","Permanece igual","Mejorará algo","Apropiarse de dinero o propiedades públicas","Poco honesto","Algo grave","Igual de corrupto","Algo mejor","Alberto Fujimori Fujimori (90-2001)","Menos corrupto que los otros","","","","","","","Muy corrupta","","",5,"Poco eficiente","Nada eficiente","Poco eficiente","De acuerdo","En desacuerdo","Ricos","Los grandes empresarios peruanos","Un trabajo eficiente de instituciones especializadas en el c","Establecer penas y reparaciones muy altas","Tranquilidad","","","","","","","","","","","","","","","Sí","No","No","No","No","Sí","No","Sí","No","No","No","Sí","Robo en vivienda o local","Violaciones, abusos o acosos sexuales","Actos de vandalismo y violencia callejera","Actos de vandalismo y violencia callejera","Robo en vivienda o local","El desempleo","Las carencias afectivas en el hogar","El mal funcionamiento de la justicia","No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor","Buscar paraderos iluminados y concurridos","Instalar una alarma o instalar rejas en su domicilio","Anotar placa del taxi","Cambiar de rutas con frecuencia","Llevar ocultos los objetos de valor o dinero",NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Nada eficaz","Nada eficaz","Nada eficaz","Poco eficaz","Nada eficaz","Poco eficaz","Poco eficaz","Todos","Bueno","Malo","Malo","Malo","Muy malo","Malo","Malo","Malo","Ni bueno, ni malo","Malo","Ni bueno, ni malo","Malo","La prevención de los desórdenes públicos","No",NA,"No",NA,NA,3,"Superior técnica completa","Independiente / cuenta propia","Pequeño comerciante con puesto / Microempresario (menos de 5","El propio entrevistado",NA,NA,NA,"Water / inodoro",2,"No","Sí","Sí","Sí","Iguales","Entre 300 y 600","Quechua","30 a 44","Casa independiente","Medio","Asfaltado en buen estado","Plano","150117            ","Lima Norte","B","A/B",0.968266199830047,"150117            ",-0.494021672820999,38.0395093269866,151,3
"372",329,"Masculino",28,"Desaprueba","Desaprueba","Desaprueba","Aprueba","Desaprueba","Desaprueba","Aprueba","Desaprueba","Buena","Igual","Medianamente informado","Poco interesado","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Promover la economía privada de mercado es la única forma en","Si","","","Alejandro Toledo","Ollanta Humala",NA,NA,NA,"No precisa","No precisa","No precisa","No precisa","Permanece igual","Permanecerá igual","Permanece igual","Empeorará algo","Apropiarse de dinero o propiedades públicas","Poco honesto","Muy grave","Igual de corrupto","Algo peor","Alberto Fujimori Fujimori (90-2001)","Tan corrupto como los otros","","","","","","","","","",7,"Nada eficiente","Poco eficiente","Poco eficiente","De acuerdo","De acuerdo","Pobres","Los políticos","Un trabajo eficiente de instituciones especializadas en el c","Un Poder Judicial más efectivo y menos corrupto","Confianza","","","","","","","","","","","","","","","No","No","No","No","No","No","Sí","Sí","No","Sí","Sí","No","Atraco (con violencia o amenaza) y Asaltos con armas","Robo al paso (de bolso, cartera, celular)","Fraude o estafa","Robo en vivienda o local","Fraude o estafa","El consumo de drogas","La pobreza y las desigualdades sociales","La poca eficacia de la Policía","No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor","Cambiar de rutas con frecuencia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Se mantiene igual","Poco eficaz","Bastante eficaz","Muy eficaz","Muy eficaz","Poco eficaz","Bastante eficaz","Muy eficaz","La familia","Malo","Bueno","Malo","Bueno","Malo","Bueno","Malo","Malo","Malo","Malo","Malo","Malo","La atención a las víctimas de delitos","No",NA,"No",NA,NA,5,"Superior universitaria completa","Independiente / cuenta propia","Profesional independiente o profesor universitario","Otra persona","Superior técnica completa","Asalariado sector público","Obrero especializado, mecánico, electricista","Water / inodoro",2,"No","Sí","Sí","Sí","Iguales","Entre 1501 y 2000","Mestizo","18 a 29","Casa independiente","Popular","Tierra afirmada","Plano","150125            ","Lima Norte","C","C",0.968266199830047,"150125            ",-0.852988727838754,32.793605449467,98,3
"373",334,"Femenino",44,"No precisa","Desaprueba","Desaprueba","Aprueba","Desaprueba","No precisa","Desaprueba","Desaprueba","Buena","Mejor","Informado","Muy interesado","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","No precisa","Si","","","Luis Castañeda","Ollanta Humala",NA,NA,NA,"Luis Castañeda","No precisa","No precisa","No precisa","Permanece igual","Permanecerá igual","Permanece igual","Permanecerá igual","Contratar a sus allegados y/o parientes dentro del Estado","Poco honesto","Algo grave","Algo más corrupto","Igual","Alberto Fujimori Fujimori (90-2001)","Menos corrupto que los otros","","","","","","","","","",5,"Poco eficiente","Poco eficiente","Nada eficiente","En desacuerdo","De acuerdo","No precisa","Los políticos","El rol fiscalizador de los medios de comunicación","Un Poder Judicial más efectivo y menos corrupto","Tranquilidad","","No precisa","No precisa","","","","","","","","","","","","Sí","Sí","No","No","No","Sí","Sí","Sí","No","No","No","Sí","Atraco (con violencia o amenaza) y Asaltos con armas","Robo en vivienda o local","Venta de drogas","Robo en vivienda o local","Atraco (con violencia o amenaza) y Asaltos con armas","El consumo de drogas","Las carencias afectivas en el hogar","La poca dureza de las penas","No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor","Buscar paraderos iluminados y concurridos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Bastante eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Nada eficaz","Bastante eficaz","Muy eficaz","La familia","Malo","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Ni bueno, ni malo","Ni bueno, ni malo","Bueno","Ni bueno, ni malo","Ni bueno, ni malo","La protección de los ciudadanos","No",NA,"No",NA,NA,3,"Superior universitaria completa","Asalariado sector privado","Profesor escolar, profesor no universitario (de academia o i","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",1,"Sí","Sí","Sí","Sí","Iguales","No precisa","Quechua","30 a 44","Casa independiente","Popular","Asfaltado en regular o mal estado","Plano","150125            ","Lima Norte","C","C",0.968266199830047,"150125            ",1.07496992190563,60.9685747537984,440,2
"374",336,"Femenino",44,"Desaprueba","No precisa","No precisa","Aprueba","Desaprueba","Aprueba","Desaprueba","Aprueba","Regular","Igual","Medianamente informado","Algo interesado","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","La democracia puede funcionar sin congreso o parlamento","La democracia puede funcionar sin partidos políticos","Promover una mayor participación del Estado en la economía e","No",NA,NA,"Luis Castañeda","Alejandro Toledo",NA,NA,NA,"Lourdes Flores","No precisa","No precisa","No precisa","Permanece igual","Permanecerá igual","Permanece igual","Permanecerá igual","Contratar a sus allegados y/o parientes dentro del Estado","Poco honesto","Muy grave","Mucho más corrupto","Mucho peor","Alan García Pérez (85-90)","Tan corrupto como los otros","","","","","","","","","",6,"Poco eficiente","Poco eficiente","Poco eficiente","De acuerdo","De acuerdo","Ricos","Los burócratas","La participación de los ciudadanos en general","No precisa","Confianza","","","","","","","","","","","","","","","Sí","No","No","No","No","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Atraco (con violencia o amenaza) y Asaltos con armas","Robo de vehículo","Agresión física personal (no sexual)","Secuestros","Atraco (con violencia o amenaza) y Asaltos con armas","El desempleo",NA,NA,"Sí","Atraco (con violencia o amenaza) y asaltos con armas","Mucho","No llevar mucho dinero consigo ni objetos de valor","No salir sin compañía","Buscar paraderos iluminados y concurridos",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Poco eficaz","Poco eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Poco eficaz","Las autoridades del Estado","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","No precisa","No",NA,"No",NA,NA,6,"Secundaria completa","Independiente / cuenta propia","Pequeño comerciante con puesto / Microempresario (menos de 5","El propio entrevistado",NA,NA,NA,"Water / inodoro",2,"Sí","Sí","Sí","Sí","Iguales","Entre 1001 y 1500","Otro","30 a 44","Casa independiente","Popular","Tierra afirmada","Plano","150125            ","Lima Norte","C","C",0.968266199830047,"150125            ",-0.637757379104653,35.9389719980271,128,3
"375",338,"Femenino",33,"Desaprueba","No precisa","No precisa","No precisa","Desaprueba","Aprueba","Aprueba","Desaprueba","Regular","Igual","Poco informado","Poco interesado","Insatisfecho","No precisa","No precisa","No precisa","No precisa","No",NA,NA,"Lourdes Flores","Ollanta Humala",NA,NA,NA,"No precisa","Luis Castañeda","No precisa","Luis Castañeda","Permanece igual","Mejorará algo","Permanece igual","Mejorará algo","Conseguir beneficios particulares aprovechando un cargo públ","Algo honesto","Algo grave","Igual de corrupto","Igual","Alan García Pérez (85-90)","Tan corrupto como los otros","","","","","","","","","",4,"Poco eficiente","Poco eficiente","Poco eficiente","De acuerdo","En desacuerdo","Pobres","Los políticos","Contar con buenas leyes","Someterlos a la vergüenza pública","Garantía","","","","","","","","","","","","","","","No","No","No","No","No","No","No","Sí","No","Sí","Sí","Sí","Robo al paso (de bolso, cartera, celular)","Robo en vivienda o local","Robo de vehículo","Robo al paso (de bolso, cartera, celular)","Robo en vivienda o local","El consumo de drogas","La poca eficacia de la Policía",NA,"No",NA,NA,"Buscar paraderos iluminados y concurridos","Anotar placa del taxi","No subir a un bus vacío",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Poco eficaz","Muy eficaz","Bastante eficaz","Poco eficaz","Nada eficaz","Poco eficaz","Muy eficaz","La familia","Bueno","Bueno","Malo","Malo","Malo","Ni bueno, ni malo","Bueno","Ni bueno, ni malo","Bueno","Malo","Malo","Malo","Ninguno","No",NA,"No",NA,NA,5,"Superior técnica incompleta","Ama de casa",NA,"Otra persona","Secundaria completa","Asalariado sector público","Empleado poco especializado (vigilante, mensajero)","Letrina / silo",0,"No","Sí","Sí","Sí","Iguales","Entre 300 y 600","Mestizo","30 a 44","Casa independiente","Popular","Tierra afirmada","Inclinado","150125            ","Lima Norte","D","D/E",0.968266199830047,"150125            ",-0.101639335604171,43.7737403532131,235,1
"376",367,"Femenino",20,"Desaprueba","No precisa","Desaprueba","Aprueba","Desaprueba","No precisa","No precisa","Aprueba","Regular","No precisa","Informado","Algo interesado","Satisfecho","Me da lo mismo un tipo de gobierno u otro","La democracia puede funcionar sin congreso o parlamento","Sin partidos políticos no puede haber democracia","Promover la economía privada de mercado es la única forma en","No",NA,NA,"Keiko Fujimori","Alejandro Toledo","Ollanta Humala",NA,NA,"Luis Castañeda","Luis Castañeda","No precisa","Luis Castañeda","Permanece igual","Permanecerá igual","Algo peor","Mejorará algo","Promover campañas de solidaridad y quedarse con lo entregado","Poco honesto","Muy grave","Mucho más corrupto","Igual","Alberto Fujimori Fujimori (90-2001)","Tan corrupto como los otros","","","","","No es corrupta","","","","",9,"Eficiente","Nada eficiente","Eficiente","De acuerdo","En desacuerdo","Pobres","Los políticos","Contar con buenas leyes","Establecer penas y reparaciones muy altas","Confianza","","No aplica","","","","","","","","","","","Nada Segura","","No","No","No","No","No","Sí","Sí","Sí","No","No","Sí","No","Robo al paso (de bolso, cartera, celular)","Violaciones, abusos o acosos sexuales","Actos de vandalismo y violencia callejera","Violaciones, abusos o acosos sexuales","Actos de vandalismo y violencia callejera","El consumo de drogas","La pobreza y las desigualdades sociales","Las carencias afectivas en el hogar","Sí","Robo al paso (de bolso, cartera, celular)","Algo","No llevar mucho dinero consigo ni objetos de valor","Buscar paraderos iluminados y concurridos","Llevar ocultos los objetos de valor o dinero","Evitar contacto con extraños en la calle",NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Bastante eficaz","Muy eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Muy eficaz","Bastante eficaz","La familia","Bueno","Malo","Bueno","Bueno","Bueno","Bueno","Bueno","Malo","Malo","Malo","Malo","Malo","Ninguno","No",NA,"No",NA,NA,6,"Secundaria completa","Independiente / cuenta propia","Empleado poco especializado (vigilante, mensajero)","Otra persona","Superior técnica completa","Asalariado sector privado","Oficial de las FFAA o Policía","Water / inodoro",3,"No","Sí","Sí","Sí","Mejores","Entre 601 y 1000","Blanco","18 a 29","Casa independiente","Medio","Asfaltado en regular o mal estado","Plano","150135            ","Lima Norte","B","A/B",0.968266199830047,"150135            ",-1.55158583796853,22.5843864205159,32,4
"377",368,"Masculino",27,"Aprueba","No precisa","No precisa","Aprueba","Desaprueba","Aprueba","Desaprueba","Aprueba","Regular","Igual","Poco informado","Nada interesado","Insatisfecho","A veces un gobierno autoritario o una dictadura es preferibl","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Promover una mayor participación del Estado en la economía e","No",NA,NA,"Lourdes Flores","Ollanta Humala","Alejandro Toledo",NA,NA,"Keiko Fujimori","Luis Castañeda","No precisa","Luis Castañeda","Permanece igual","Mejorará algo","Algo mejor","Permanecerá igual","Apropiarse de dinero o propiedades públicas","Algo honesto","Muy grave","Algo menos corrupto","Algo mejor","Alberto Fujimori Fujimori (90-2001)","Menos corrupto que los otros","","","","","","","","","",9,"Poco eficiente","Poco eficiente","Poco eficiente","Muy de acuerdo","De acuerdo","Pobres","Todos por igual","Un trabajo eficiente de instituciones especializadas en el c","Prisión efectiva","Solidez","","","","","","","","","","","Muy segura","","","","No","Sí","No","No","No","No","No","No","No","No","No","Sí","Atraco (con violencia o amenaza) y Asaltos con armas","Robo al paso (de bolso, cartera, celular)","Robo por internet","Atraco (con violencia o amenaza) y Asaltos con armas","Robo por internet","El consumo de drogas","La pobreza y las desigualdades sociales","El desempleo","No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor","Cambiar de rutas con frecuencia","No subir a un bus vacío",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha disminuido algo","Poco eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Nada eficaz","Muy eficaz","Muy eficaz","La familia","Malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Bueno","Ni bueno, ni malo","Bueno","Bueno","Malo","Bueno","Malo","La protección de los ciudadanos","No",NA,"No",NA,NA,7,"Superior técnica completa","Asalariado sector privado","Obrero especializado, mecánico, electricista","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",2,"No","No","No","No","Mejores","Entre 1501 y 2000","Mestizo","18 a 29","Casa independiente","Medio","Asfaltado en buen estado","Plano","150135            ","Lima Norte","C","C",0.968266199830047,"150135            ",1.51247661176557,67.362247957774,476,2
"378",369,"Masculino",19,"Desaprueba","No precisa","No precisa","Aprueba","Aprueba","Aprueba","Desaprueba","Aprueba","Regular","Igual","Medianamente informado","Nada interesado","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Promover una mayor participación del Estado en la economía e","No",NA,NA,"Keiko Fujimori","Ollanta Humala",NA,NA,NA,"No precisa","No precisa","No precisa","No precisa","Algo mejor","Permanecerá igual","Algo mejor","Permanecerá igual","Contratar a sus allegados y/o parientes dentro del Estado","Algo honesto","Muy grave","Algo más corrupto","Igual","Alan García Pérez (85-90)","Más corrupto que los otros","","","","","","","","","",8,"Poco eficiente","Eficiente","Poco eficiente","De acuerdo","De acuerdo","Ricos","Los políticos","Un trabajo eficiente de instituciones especializadas en el c","Un Poder Judicial más efectivo y menos corrupto","Confianza","","No aplica","","","","","","","","","","","","","No","No","No","No","No","No","Sí","Sí","No","No","Sí","No","Robo al paso (de bolso, cartera, celular)","Amenazas o intimidaciones","Agresión física personal (no sexual)","Robo al paso (de bolso, cartera, celular)","Amenazas o intimidaciones","El consumo de drogas","El bajo nivel educativo","La falta de colaboración ciudadana","No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor","Llevar ocultos los objetos de valor o dinero","Evitar contacto con extraños en la calle",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Muy eficaz","Poco eficaz","Poco eficaz","Poco eficaz","Bastante eficaz","Nada eficaz","Bastante eficaz","La familia","Bueno","Bueno","Malo","Bueno","Muy malo","Bueno","Malo","Bueno","Bueno","Bueno","Malo","Malo","La protección de los ciudadanos","Sí","Poco satisfactorio","No",NA,NA,5,"Secundaria completa","Estudiante",NA,"Otra persona","Inicial o primaria incompleta","Asalariado sector público","Obrero poco especializado / de limpieza","Water / inodoro",1,"No","Sí","No","No","Iguales","Menos de 300","Quechua","18 a 29","Casa independiente","Precario","Tierra afirmada","Plano","150135            ","Lima Norte","E","D/E",0.968266199830047,"150135            ",1.17334132731184,62.4061633286942,449,2
"379",379,"Femenino",49,"Aprueba","Aprueba","No precisa","Aprueba","Desaprueba","Aprueba","Aprueba","Desaprueba","Buena","Mejor","Bien informado","Algo interesado","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Promover una mayor participación del Estado en la economía e","Si","","","Luis Castañeda","Ollanta Humala",NA,NA,NA,"Lourdes Flores","Luis Castañeda","No precisa","Luis Castañeda","Algo mejor","Mejorará algo","Algo mejor","Mejorará algo","Hacer obras públicas en tiempo de campaña","Algo honesto","Algo grave","Algo más corrupto","Algo peor","Alberto Fujimori Fujimori (90-2001)","Menos corrupto que los otros","","","","","","","","","",7,"Eficiente","Poco eficiente","Muy eficiente","Muy de acuerdo","En desacuerdo","Ricos","Los burócratas","Un trabajo eficiente de instituciones especializadas en el c","Establecer penas y reparaciones muy altas","Confianza","","","","","","","","","","","","","","","Sí","Sí","No","No","No","Sí","Sí","Sí","No","Sí","Sí","Sí","Robo al paso (de bolso, cartera, celular)","Robo en vivienda o local","Secuestros","Robo en vivienda o local","Robo al paso (de bolso, cartera, celular)","El consumo de drogas","El bajo nivel educativo","La poca dureza de las penas","No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor","Buscar paraderos iluminados y concurridos","No subir a un bus vacío",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Poco eficaz","Muy eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","Todos","Bueno","Ni bueno, ni malo","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","No precisa","Bueno","La atención a las víctimas de delitos","No",NA,"No",NA,NA,2,"Superior técnica completa","Asalariado sector privado","Obrero especializado, mecánico, electricista","El propio entrevistado",NA,NA,NA,"Water / inodoro",1,"No","Sí","Sí","No","Iguales","Entre 1001 y 1500","Quechua","45 a más","Casa independiente","Popular","Asfaltado en regular o mal estado","Plano","150135            ","Lima Norte","C","C",0.968266199830047,"150135            ",-0.144128531796735,43.1528080533165,219,1
"380",404,"Masculino",39,"Desaprueba","Desaprueba","Desaprueba","Aprueba","Desaprueba","Desaprueba","Desaprueba","Aprueba","Regular","Mejor","Poco informado","Algo interesado","Insatisfecho","No precisa","La democracia puede funcionar sin congreso o parlamento","La democracia puede funcionar sin partidos políticos","Promover una mayor participación del Estado en la economía e","No",NA,NA,"No precisa","No precisa",NA,NA,NA,"Keiko Fujimori","No precisa","Luis Castañeda","No precisa","Permanece igual","Permanecerá igual","Permanece igual","Mejorará algo","Despedir a los funcionarios encontrados al asumir un cargo","Poco honesto","Muy grave","Igual de corrupto","Algo mejor","No precisa","Tan corrupto como los otros","","","","No precisa","Muy corrupta","","","No precisa","",5,"Nada eficiente","Poco eficiente","Poco eficiente","De acuerdo","De acuerdo","Ambos igual","Los políticos","No precisa","Educación en valores en las escuelas y las familias","Certeza","","No aplica","","","Muy segura","Muy segura","","","","","","","","","No","Sí","No","No","No","No precisa","No precisa","Sí","Sí","No","No","Sí","Atraco (con violencia o amenaza) y Asaltos con armas","Robo de vehículo","Actos de vandalismo y violencia callejera","Actos de vandalismo y violencia callejera","Robo de vehículo","El consumo de drogas","La pobreza y las desigualdades sociales","La escasez de medios de la Policía","No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Nada eficaz","Muy eficaz","Muy eficaz","La familia","Malo","Ni bueno, ni malo","Ni bueno, ni malo","Malo","Ni bueno, ni malo","Bueno","Malo","Ni bueno, ni malo","Bueno","Malo","Malo","Malo","Ninguno","No",NA,"No",NA,NA,8,"Secundaria completa","Independiente / cuenta propia","Obrero eventual","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",1,"Sí","Sí","Sí","Sí","Iguales","Menos de 300","Mestizo","30 a 44","Casa independiente","Medio","Asfaltado en buen estado","Plano","150103            ","Lima Este","C","C",1.04223766235939,"150103            ",-0.853757596068025,32.7823692962633,97,3
"381",411,"Femenino",19,"Desaprueba","No precisa","No precisa","Aprueba","Desaprueba","Aprueba","Desaprueba","Aprueba","Mala","Mejor","Informado","Algo interesado","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Sin un congreso o parlamento no puede haber democracia","La democracia puede funcionar sin partidos políticos","Promover una mayor participación del Estado en la economía e","No",NA,NA,"Keiko Fujimori","Alejandro Toledo",NA,NA,NA,"Keiko Fujimori","Luis Castañeda","No precisa","Luis Castañeda","Algo mejor","Mejorará algo","Algo mejor","Permanecerá igual","Promover campañas de solidaridad y quedarse con lo entregado","Algo honesto","Muy grave","Igual de corrupto","Algo mejor","Alan García Pérez (85-90)","Más corrupto que los otros","","","","","","","","","",3,"Poco eficiente","Poco eficiente","Poco eficiente","En desacuerdo","De acuerdo","Ricos","Los políticos","Contar con buenas leyes","Establecer penas y reparaciones muy altas","Garantía","","No aplica","","","","","","","","","","","","","No","No","No","No","No","Sí","Sí","Sí","No","No","No","No","Amenazas o intimidaciones","Violaciones, abusos o acosos sexuales","Abusos o coacciones por parte de agentes de la autoridad","Violaciones, abusos o acosos sexuales","Amenazas o intimidaciones","El consumo de drogas","La poca dureza de las penas","La lejanía o la ausencia las comisarías","Sí","Robo al paso (de bolso, cartera, celular)","Mucho","No llevar mucho dinero consigo ni objetos de valor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Muy eficaz","Bastante eficaz","Muy eficaz","Bastante eficaz","Muy eficaz","Bastante eficaz","Bastante eficaz","Todos","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Bueno","Ni bueno, ni malo","Muy bueno","Bueno","Muy bueno","Muy bueno","Muy bueno","La atención a las víctimas de delitos","No",NA,"No",NA,NA,6,"Superior técnica incompleta","Asalariado sector público","Obrero especializado, mecánico, electricista","Otra persona","Secundaria incompleta","Independiente / cuenta propia","Obrero especializado, mecánico, electricista","Water / inodoro",1,"No","Sí","No","No","Mejores","Menos de 300","No precisa","18 a 29","Casa independiente","Popular","Tierra afirmada","Plano","150103            ","Lima Este","D","D/E",1.04223766235939,"150103            ",-0.402877032362307,39.3714867776017,172,3
"382",421,"Masculino",18,"Aprueba","Desaprueba","Desaprueba","Aprueba","Desaprueba","Aprueba","Aprueba","Desaprueba","Regular","Mejor","Poco informado","Nada interesado","Satisfecho","A veces un gobierno autoritario o una dictadura es preferibl","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Promover una mayor participación del Estado en la economía e","No",NA,NA,"Lourdes Flores","No precisa",NA,NA,NA,"Luis Castañeda","Lourdes Flores","No precisa","Lourdes Flores","Permanece igual","Mejorará algo","Permanece igual","Mejorará mucho","Hacer obras públicas en tiempo de campaña","Muy honesto","Poco Grave","Mucho más corrupto","Algo mejor","Alan García Pérez (85-90)","Más corrupto que los otros","","","","","","","","","",8,"Eficiente","Eficiente","Eficiente","En desacuerdo","En desacuerdo","Ricos","Los grandes empresarios extranjeros","Un trabajo eficiente de instituciones especializadas en el c","Educación en valores en las escuelas y las familias","Tranquilidad","Muy segura","No aplica","","Muy segura","","Muy segura","","","Muy segura","","","","","","No","Sí","No","No","No","No","No","No","No","No","No","No","Robo de vehículo","Robo por internet","Robo en cajeros","Robo de vehículo","Robo en cajeros","El consumo de drogas","La poca eficacia de la Policía","La lejanía o la ausencia las comisarías","No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Muy eficaz","Muy eficaz","Poco eficaz","Muy eficaz","Nada eficaz","Poco eficaz","Muy eficaz","El propio consumidor","Malo","Malo","Bueno","Malo","Malo","Bueno","Bueno","Malo","Bueno","Bueno","Bueno","Bueno","La atención a las víctimas de delitos","No",NA,"Sí","Pelea / alteración del orden público","Se resolvió de manera alternativa, como coimas, etc.",4,"Secundaria incompleta","Asalariado sector privado","Obrero eventual","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Letrina / silo",0,"No","No","No","No","Iguales","Entre 1001 y 1500","Negro / mulato / zambo","18 a 29","Casa independiente","Precario","Asfaltado en buen estado","Plano","150103            ","Lima Este","E","D/E",1.04223766235939,"150103            ",0.548997165120017,53.2820684693851,358,1
